depmap_id	cell_line_name	stripped_cell_line_name	cell_line	aliases	cosmic_id	sex	source	RRID	WTSI_master_cell_ID	sample_collection_site	primary_or_metastasis	primary_disease	subtype_disease	age	sanger_id	additional_info	lineage	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype	default_growth_pattern	model_manipulation	model_manipulation_details	patient_id	parent_depmap_id	Cellosaurus_NCIt_disease	Cellosaurus_NCIt_id	Cellosaurus_issues
ACH-000016	SLR 21	SLR21	SLR21_KIDNEY	NA	NA	NA	Academic lab	CVCL_V607	NA	kidney	Metastasis	Kidney Cancer	Renal Cell Carcinoma	NA	NA	NA	kidney	renal_cell_carcinoma	NA	NA	NA	NA	NA	PT-JnARLB	NA	Clear cell renal cell carcinoma	C4033	NA
ACH-000032	MHH-CALL-3	MHHCALL3	MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Female	DSMZ	CVCL_0089	NA	bone_marrow	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	11	NA	NA	blood	ALL	b_cell	NA	NA	NA	NA	PT-p2KOyI	NA	Childhood B acute lymphoblastic leukemia	C9140	NA
ACH-000033	NCI-H1819	NCIH1819	NCIH1819_LUNG	NA	NA	Female	Academic lab	CVCL_1497	NA	lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	55	NA	NA	lung	NSCLC	NSCLC_adenocarcinoma	NA	NA	NA	NA	PT-9p1WQv	NA	Lung adenocarcinoma	C3512	NA
ACH-000043	Hs 895.T	HS895T	HS895T_FIBROBLAST	NA	NA	Female	ATCC	CVCL_0993	NA	fibroblast	Metastasis	Non-Cancerous	Skin	48	NA	NA	fibroblast	fibroblast_skin	NA	NA	2D: adherent	NA	NA	PT-rTUVZQ	NA	Melanoma	C3224	NA
ACH-000049	HEK TE	HEKTE	HEKTE_KIDNEY	NA	NA	NA	Academic lab	CVCL_WS59	NA	kidney	NA	Non-Cancerous	NA	NA	NA	NA	kidney	NA	NA	NA	NA	immortalized	NA	PT-qWYYgr	NA	NA	NA	No information is available about this cell line except that it is an immortalized kidney cell line
ACH-000051	TE 617.T	TE617T	TE617T_SOFT_TISSUE	NA	NA	Female	ATCC	CVCL_1755	NA	soft_tissue	Primary	Sarcoma	Rhabdomyosarcoma	1	NA	NA	soft_tissue	rhabdomyosarcoma	NA	NA	2D: adherent	NA	NA	PT-xfVhgW	NA	Rhabdomyosarcoma	C3359	NA
ACH-000064	SALE	SALE	SALE_LUNG	NA	NA	Male	Academic lab	CVCL_WS60	NA	lung	NA	Non-Cancerous	NA	NA	NA	NA	lung	NA	NA	NA	NA	immortalized	NA	PT-Vm8sIp	NA	NA	NA	No information is available about this cell line except that it is a immortalized lung cell line
ACH-000068	REC-1	REC1	REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	DSMZ	CVCL_1884	NA	lymph_node	NA	Lymphoma	B-cell, Non-Hodgkins, Mantle Cell	61	NA	NA	lymphocyte	non_hodgkin_lymphoma	b_cell_mantle_cell	NA	NA	NA	NA	PT-WEet0z	NA	Mantle cell lymphoma	C4337	Indicated to be from a 57 year old female patient in ATCC and from a 61 year old in DSMZ
ACH-000071	NA	HS706T	HS706T_BONE	NA	NA	Female	ATCC	CVCL_0863	NA	fibroblast	NA	Non-Cancerous	Bone	16	NA	NA	fibroblast	fibroblast_bone	NA	NA	2D: adherent	NA	NA	PT-HqO4KC	NA	Malignancy in giant cell tumor of bone	C4304	NA
ACH-000076	NCO2	NCO2	NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Female	HSRRB	CVCL_3043	NA	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Chronic Myelogenous Leukemia (CML)	35	NA	NA	blood	CML	NA	NA	NA	NA	NA	PT-Ugji7b	NA	Chronic myelogenous leukemia, BCR-ABL1 positive	C3174	NA
ACH-000077	MJ	MJ	MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	ATCC	CVCL_1414	NA	haematopoietic_and_lymphoid_tissue	NA	Lymphoma	T-cell, Non-Hodgkins, Cutaneous	50	NA	NA	lymphocyte	non_hodgkin_lymphoma	t_cell_cutaneous	NA	2D: suspension	NA	NA	PT-brIUSU	NA	Primary cutaneous T-cell non-Hodgkin lymphoma	C3467	NA
ACH-000079	TE 125.T	TE125T	TE125T_FIBROBLAST	NA	NA	Female	ATCC	CVCL_1740	NA	fibroblast	NA	Non-Cancerous	Soft tissue	1	NA	NA	fibroblast	fibroblast_soft_tissue	NA	NA	2D: adherent	NA	NA	PT-5wqkwI	NA	Rhabdomyosarcoma	C3359	NA
ACH-000084	NA	MUTZ3	MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ3	NA	Male	DSMZ	CVCL_1433	NA	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Myelogenous Leukemia (AML)	29	NA	NA	blood	AML	NA	NA	2D: suspension	NA	NA	PT-S6ty7D	NA	Acute myeloid leukemia with inv(3) (q21.3q26.2) or t(33) (q21.3q26.2) GATA2, MECOM	C82426	NA
ACH-000089	NCI-H684	NCIH684	NCIH684_LARGE_INTESTINE	NA	NA	Male	KCLB	CVCL_9980	NA	liver	Metastasis	Colon/Colorectal Cancer	Adenocarcinoma	55	NA	NA	colorectal	colorectal_adenocarcinoma	NA	NA	NA	NA	NA	PT-0joF2E	NA	Colon adenocarcinoma	C4349	NA
ACH-000093	Panc 05.04	PANC0504	PANC0504_PANCREAS	NA	NA	Female	ATCC	CVCL_1637	NA	pancreas	Primary	Pancreatic Cancer	Ductal Adenocarcinoma, exocrine	77	NA	NA	pancreas	exocrine	exocrine_adenocarcinoma	NA	2D: adherent	NA	NA	PT-aJgS51	NA	Pancreatic ductal adenocarcinoma	C9120	NA
